Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
9699,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1950.0,986.749,1013.313,524.659,488.654,1483.622,107.368,18.883,32.459,32.033,53.129,5.244,13.218,44.926,3.556,44.336,6.225,2.52,29.282,106.1,12.467,7.375,5.092,12.303,54.092,50.226,59.162,48.162,44.291,53.299,10.826,8.075,13.804,5.39,3.674,7.093,3.996,93.281,41.989,5.414,132.665,215.345,232.544,195.63,462.148,553.734,366.105,172.033,198.662,138.302,368.948,470.339,265.119,20.67,20.398
9700,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1951.0,1039.878,1068.035,555.92,512.115,1563.742,108.554,18.599,34.134,31.96,56.315,5.274,13.143,46.536,3.775,43.572,6.253,2.572,29.29,106.1,12.402,7.335,5.067,11.612,55.26,51.39,60.33,48.476,44.576,53.639,10.977,8.14,13.906,5.509,3.688,7.127,3.956,84.969,43.765,5.279,118.778,199.75,215.691,181.405,448.159,537.815,350.481,167.219,193.101,133.822,363.362,461.578,258.216,22.18,20.767
9701,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1952.0,1096.193,1126.09,589.102,536.987,1648.74,109.705,18.358,36.201,32.148,59.793,5.311,13.051,48.398,4.009,42.979,6.286,2.625,29.298,106.2,12.197,7.232,4.965,10.831,56.426,52.572,61.474,48.838,44.948,53.983,11.146,8.25,14.013,5.628,3.728,7.164,3.744,76.984,45.767,4.985,105.778,184.602,199.297,167.666,433.349,520.035,335.1,161.607,186.344,129.401,356.418,450.302,251.329,23.594,20.952
9702,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1953.0,1155.986,1187.52,624.217,563.303,1738.682,110.814,18.154,38.45,32.378,63.068,5.312,13.049,50.502,4.255,42.527,6.321,2.678,29.305,106.2,12.052,7.201,4.851,10.149,57.467,53.603,62.576,49.136,45.258,54.321,11.28,8.33,14.118,5.724,3.75,7.201,3.532,69.405,47.932,4.672,93.95,170.809,184.946,154.575,420.148,504.627,320.21,156.602,180.674,125.126,350.598,440.932,244.617,24.622,20.734
9703,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1954.0,1219.054,1252.281,661.261,591.02,1833.501,111.885,17.984,41.348,33.018,66.454,5.308,13.059,52.737,4.491,42.113,6.346,2.733,29.313,106.2,11.389,6.735,4.655,9.095,59.423,55.785,63.989,50.442,46.857,54.97,11.603,8.726,14.248,5.832,3.83,7.216,3.326,62.606,50.236,4.367,83.636,153.596,166.043,139.419,381.126,448.1,300.622,143.953,163.795,118.119,316.51,386.069,233.336,25.106,20.048
9704,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1955.0,1285.508,1320.23,700.215,620.016,1932.988,112.935,17.86,44.39,33.623,69.445,5.261,13.175,55.217,4.724,41.824,6.375,2.782,29.321,106.2,10.827,6.353,4.474,8.201,61.214,57.788,65.308,51.711,48.397,55.674,12.047,9.313,14.406,6.088,4.152,7.273,3.15,56.723,52.78,4.094,74.84,140.2,152.113,126.553,349.312,403.907,281.743,132.364,148.961,110.755,289.154,344.197,221.09,25.051,18.975
9705,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1956.0,1354.953,1390.956,740.865,650.091,2036.538,113.963,17.79,47.724,34.31,72.005,5.178,13.386,58.236,4.947,41.867,6.444,2.841,29.329,106.2,10.512,6.118,4.394,7.557,62.617,59.531,66.154,52.712,49.802,56.038,12.354,9.931,14.339,6.202,4.485,7.151,3.014,51.737,55.838,3.876,67.62,128.776,139.421,116.638,327.672,371.817,271.299,124.366,139.024,105.155,271.308,314.391,215.991,24.287,17.461
9706,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1957.0,1426.958,1458.271,778.298,679.973,2135.097,114.46,17.708,49.951,34.253,62.626,4.295,16.138,60.417,4.986,41.43,6.404,2.846,29.33,106.2,10.466,6.164,4.301,7.177,63.394,60.386,66.986,53.114,50.258,56.531,12.146,9.786,14.204,5.894,4.271,6.824,2.866,47.489,58.091,3.655,61.542,117.149,126.655,106.237,308.656,352.319,251.002,114.099,127.876,95.871,255.578,298.327,198.682,12.676,8.692
9707,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1958.0,1489.584,1515.727,807.66,708.067,2219.22,114.066,17.558,51.348,33.878,52.286,3.45,20.091,61.78,4.967,40.76,6.316,2.824,29.301,106.2,10.432,6.21,4.221,6.882,64.026,60.988,67.758,53.388,50.492,56.963,12.2,9.726,14.482,5.887,4.115,6.942,2.706,43.817,59.551,3.434,56.409,109.88,118.116,100.605,295.899,338.906,238.505,109.851,123.033,92.452,246.438,288.464,189.855,0.928,0.612
9708,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1959.0,1541.87,1567.754,832.875,734.879,2295.394,113.335,17.373,51.346,32.752,51.768,3.302,20.992,61.532,4.76,39.249,6.121,2.755,29.327,106.3,10.186,6.08,4.106,6.497,64.794,61.718,68.564,53.833,50.886,57.461,12.234,9.74,14.536,5.87,4.044,6.885,2.494,40.615,59.446,3.164,51.979,102.137,110.691,92.456,279.74,323.86,220.832,102.248,116.534,83.581,233.474,276.721,175.262,0.421,0.269
9709,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1960.0,1593.638,1619.322,857.949,761.373,2370.897,112.685,17.174,49.365,30.486,51.369,3.173,21.845,59.428,4.174,36.7,5.765,2.61,29.416,106.3,10.063,6.041,4.022,6.214,65.297,62.15,69.145,54.039,51.033,57.73,12.37,9.791,14.772,6.028,4.032,7.087,2.238,37.623,57.539,2.848,47.901,96.471,105.922,85.81,271.512,314.743,214.288,98.67,113.446,79.695,228.486,270.548,172.362,2.008,1.24
9710,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1961.0,1645.007,1670.461,882.872,787.589,2445.77,112.098,16.959,47.42,28.387,50.908,3.048,22.741,57.449,3.751,34.391,5.418,2.469,29.4,106,10.029,6.031,3.998,6.004,65.686,62.568,69.521,54.158,51.174,57.844,12.184,9.607,14.64,5.919,3.87,6.963,2.018,34.998,55.732,2.571,44.333,89.316,98.873,78.487,261.703,303.269,207.242,93.251,107.445,75.24,221.503,261.851,168.231,3.49,2.089
