Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
9699,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1950.0,39.671,34.16,32.315,30.611,29.0565,27.733,26.632,25.769,25.134,24.6375,24.238,23.979,23.545,22.714,21.699,20.8175,20.037,19.273,18.6285,18.0875,17.5675,17.048,16.6265,16.3725,16.223,16.08,15.948,15.9035,15.965,16.0625,16.1485,16.2415,16.202,15.92,15.4955,15.099,14.695,14.238,13.8025,13.372,12.8945,12.3825,11.841,11.2905,10.7435,10.1935,9.633,9.056,8.4715,7.879,7.2925,6.735,6.1475,5.5055,4.8665,4.2745,3.688,3.2375,3.0545,2.968,2.8805,2.829,2.759,2.6225,2.4605,2.338,2.2555,2.133,1.9255,1.664,1.407,1.154,0.959,0.8925,0.8965,0.8945,0.8925,0.8775,0.819,0.733,0.661,0.6015,0.5365,0.4675,0.3935,0.3205,0.2515,0.191,0.1485,0.1205,0.091,0.0655,0.052,0.0395,0.0235,0.0135,0.0125,0.0105,0.0075,0.005,0.0055
9700,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1951.0,45.1045,38.772,34.578,32.925,31.0685,29.323,27.799,26.564,25.713,25.2295,24.9095,24.646,24.4705,24.07,23.243,22.2235,21.3445,20.5835,19.8545,19.2485,18.7495,18.2635,17.74,17.263,16.9125,16.653,16.4185,16.2135,16.101,16.1055,16.1645,16.2265,16.277,16.1865,15.8985,15.506,15.1435,14.7575,14.305,13.874,13.448,12.973,12.4435,11.8735,11.3095,10.7655,10.223,9.662,9.082,8.502,7.916,7.332,6.764,6.1665,5.5365,4.929,4.368,3.808,3.366,3.1585,3.032,2.9005,2.798,2.6835,2.527,2.361,2.232,2.138,2.011,1.812,1.5675,1.326,1.0885,0.9035,0.8285,0.816,0.8,0.785,0.76,0.7025,0.624,0.56,0.505,0.447,0.3855,0.3215,0.26,0.2015,0.1515,0.1165,0.093,0.07,0.05,0.039,0.0285,0.0165,0.01,0.0085,0.007,0.0055,0.007
9701,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1952.0,47.6985,43.7505,38.9975,35.521,33.6895,31.6185,29.646,27.901,26.5165,25.6715,25.332,25.1855,25.058,24.9635,24.595,23.7705,22.746,21.869,21.1265,20.433,19.8655,19.4085,18.9575,18.4325,17.8985,17.4515,17.0815,16.7575,16.48,16.2975,16.2455,16.2655,16.3045,16.3115,16.171,15.8775,15.516,15.186,14.816,14.367,13.9395,13.517,13.044,12.499,11.9005,11.3265,10.787,10.2495,9.687,9.1015,8.5225,7.942,7.3605,6.7835,6.1795,5.564,4.987,4.457,3.9215,3.486,3.252,3.087,2.9155,2.769,2.6195,2.4495,2.2785,2.142,2.033,1.8945,1.7,1.4705,1.2435,1.022,0.8475,0.7675,0.74,0.712,0.685,0.652,0.5955,0.5265,0.4685,0.4185,0.3665,0.314,0.259,0.2075,0.159,0.119,0.09,0.072,0.053,0.037,0.029,0.021,0.012,0.007,0.0055,0.005,0.008
9702,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1953.0,50.1815,46.381,43.628,39.7665,36.606,34.542,32.224,30.003,28.024,26.4835,25.6385,25.4405,25.4665,25.471,25.4565,25.12,24.297,23.2665,22.3905,21.666,21.008,20.4805,20.0675,19.651,19.1235,18.534,17.9905,17.5105,17.0965,16.7445,16.4935,16.3855,16.3675,16.383,16.347,16.1565,15.857,15.524,15.2255,14.87,14.4235,13.998,13.579,13.1095,12.551,11.9275,11.343,10.8065,10.2725,9.7055,9.1115,8.532,7.9565,7.3795,6.798,6.1885,5.588,5.0425,4.54,4.0265,3.596,3.3375,3.137,2.9335,2.7515,2.573,2.389,2.212,2.0635,1.934,1.78,1.5885,1.371,1.16,0.956,0.794,0.709,0.669,0.63,0.5935,0.553,0.498,0.437,0.3855,0.3415,0.2955,0.2505,0.205,0.1625,0.1235,0.0915,0.0695,0.054,0.0395,0.0275,0.021,0.0145,0.0085,0.0045,0.0045,0.0075
9703,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1954.0,52.5925,48.8765,46.2705,44.0335,40.663,37.769,35.4465,32.8625,30.3835,28.162,26.4605,25.6115,25.553,25.7485,25.8855,25.95,25.6435,24.8205,23.7845,22.908,22.2035,21.5825,21.096,20.7265,20.3455,19.8165,19.17,18.5305,17.941,17.4345,17.011,16.691,16.5265,16.471,16.464,16.3835,16.143,15.8345,15.5295,15.2615,14.919,14.4735,14.05,13.6365,13.173,12.603,11.954,11.3585,10.8235,10.291,9.717,9.1135,8.534,7.9665,7.3975,6.813,6.198,5.613,5.0925,4.6165,4.125,3.702,3.423,3.195,2.9645,2.7515,2.544,2.344,2.1565,1.991,1.837,1.6655,1.475,1.2725,1.0785,0.8945,0.7435,0.656,0.604,0.555,0.5085,0.4615,0.409,0.3555,0.3115,0.272,0.234,0.195,0.158,0.1235,0.0935,0.0695,0.052,0.04,0.028,0.02,0.0145,0.01,0.006,0.004,0.0065
9704,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1955.0,54.77,51.2995,48.752,46.622,44.56,41.636,38.9805,36.3835,33.5255,30.7785,28.3095,26.444,25.589,25.668,26.032,26.299,26.443,26.164,25.344,24.3,23.4265,22.743,22.159,21.714,21.388,21.043,20.511,19.8095,19.0735,18.373,17.777,17.279,16.8905,16.671,16.577,16.545,16.4215,16.128,15.8105,15.5315,15.293,14.9635,14.521,14.102,13.6955,13.239,12.658,11.983,11.375,10.8395,10.3075,9.726,9.115,8.5395,7.9825,7.423,6.8345,6.214,5.6385,5.1455,4.6955,4.2295,3.817,3.5235,3.2695,3.0145,2.7695,2.53,2.31,2.106,1.9215,1.7415,1.5535,1.3655,1.18,1.004,0.8375,0.7,0.609,0.545,0.486,0.4315,0.379,0.3285,0.2825,0.245,0.212,0.178,0.1465,0.1165,0.091,0.0685,0.05,0.0375,0.0285,0.02,0.0135,0.0095,0.0065,0.0045,0.006
9705,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1956.0,56.672,53.4565,51.1545,49.024,47.081,45.159,42.6535,40.221,37.3415,34.2,31.1805,28.463,26.4305,25.568,25.782,26.3145,26.712,26.933,26.6855,25.8655,24.8175,23.9475,23.285,22.739,22.3355,22.054,21.744,21.21,20.4525,19.6205,18.81,18.1215,17.5505,17.0935,16.8155,16.6825,16.6255,16.4565,16.109,15.7815,15.5305,15.322,15.0085,14.571,14.1565,13.758,13.31,12.716,12.0125,11.39,10.8545,10.322,9.7355,9.1205,8.5505,8.0045,7.455,6.862,6.233,5.6705,5.205,4.7855,4.347,3.948,3.6405,3.362,3.081,2.799,2.524,2.2795,2.059,1.854,1.649,1.4455,1.263,1.093,0.935,0.7875,0.661,0.5665,0.4925,0.424,0.362,0.304,0.2565,0.217,0.1855,0.157,0.129,0.103,0.0815,0.0625,0.0465,0.0345,0.026,0.019,0.013,0.0085,0.006,0.0045,0.006
9706,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1957.0,58.395,55.3105,53.235,51.2805,49.295,47.4735,45.6445,43.534,41.146,38.0805,34.7295,31.486,28.568,26.418,25.583,25.928,26.5865,27.0795,27.3365,27.077,26.237,25.1835,24.3215,23.681,23.157,22.7815,22.534,22.249,21.7075,20.902,19.994,19.099,18.3485,17.724,17.2185,16.9015,16.738,16.658,16.4415,16.058,15.729,15.496,15.309,15.0085,14.582,14.1785,13.7865,13.3385,12.726,12.0005,11.3685,10.8265,10.293,9.7035,9.09,8.526,7.988,7.442,6.842,6.212,5.663,5.2205,4.822,4.405,4.014,3.6945,3.3965,3.0935,2.784,2.486,2.2255,1.993,1.7725,1.5505,1.342,1.1655,1.0105,0.867,0.734,0.616,0.52,0.4395,0.367,0.3005,0.243,0.1985,0.1645,0.1385,0.1135,0.09,0.0705,0.0545,0.0415,0.0305,0.0225,0.017,0.0125,0.008,0.0055,0.004,0.0065
9707,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1958.0,58.8605,57.025,54.996,53.207,51.326,49.4075,47.6355,45.8585,43.958,41.5725,38.4805,35.035,31.6585,28.633,26.443,25.6625,26.093,26.8075,27.322,27.536,27.207,26.3265,25.2705,24.4205,23.7855,23.2575,22.887,22.654,22.3805,21.8325,21.007,20.066,19.14,18.3725,17.735,17.2185,16.887,16.7055,16.6025,16.355,15.957,15.623,15.392,15.215,14.9285,14.5245,14.133,13.7385,13.282,12.652,11.915,11.2715,10.7195,10.183,9.596,8.9895,8.4285,7.887,7.3365,6.7335,6.1065,5.564,5.126,4.7335,4.3265,3.9425,3.6175,3.3155,3.0075,2.6925,2.3915,2.13,1.8945,1.6705,1.448,1.242,1.074,0.928,0.793,0.669,0.5575,0.465,0.3865,0.3165,0.254,0.2,0.1605,0.131,0.107,0.086,0.0665,0.051,0.039,0.029,0.021,0.0155,0.012,0.008,0.0055,0.0035,0.006
9708,Estimates,Singapore,,702,SGP,SG,702.0,Country/Area,920,1959.0,58.104,57.6215,56.6945,54.9135,53.185,51.3375,49.442,47.6885,45.9485,44.113,41.81,38.7575,35.258,31.7905,28.699,26.5005,25.7705,26.251,26.9895,27.489,27.625,27.208,26.2855,25.23,24.3935,23.751,23.2055,22.831,22.6035,22.3345,21.789,20.96,20.009,19.0765,18.311,17.6775,17.1665,16.83,16.6305,16.504,16.2415,15.834,15.489,15.253,15.079,14.8135,14.4345,14.052,13.6505,13.179,12.5375,11.7925,11.1355,10.5715,10.0335,9.455,8.8555,8.291,7.7395,7.1825,6.579,5.9545,5.4105,4.97,4.5785,4.1815,3.804,3.485,3.1835,2.8795,2.5695,2.274,2.014,1.7815,1.562,1.3445,1.1465,0.985,0.8445,0.716,0.5995,0.496,0.41,0.3365,0.2735,0.2165,0.169,0.1335,0.1065,0.087,0.0675,0.0515,0.039,0.029,0.0215,0.015,0.0115,0.008,0.006,0.003,0.0055
